# 20260926_0852_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
114.100.195.41:4022	有效	6	694
183.162.205.235:4022	有效	629	71
183.162.105.43:8888	有效	166	534
1.1.1.1:0000	无效	0	700
11.11.11.11:8888	无效	0	700
114.100.195.104:4022	无效	0	700
114.100.195.11:4022	无效	0	700
114.100.195.125:4022	无效	0	700
114.100.195.156:4022	无效	0	700
114.100.195.157:4022	有效	40	660
114.100.195.166:4022	无效	0	700
114.100.195.171:4022	无效	0	700
114.100.195.182:4022	无效	0	700
114.100.195.187:4022	无效	0	700
114.100.195.198:4022	无效	0	700
114.100.195.1:4022	无效	0	700
114.100.195.238:4022	无效	0	700
114.100.195.42:4022	无效	0	700
114.100.195.59:4022	无效	0	700
114.104.141.1:8686	无效	0	700
114.104.141.215:8686	无效	0	700
114.104.182.1:8686	无效	0	700
114.104.183.107:8686	无效	0	700
114.104.183.1:8686	无效	0	700
114.107.44.150:8188	无效	0	700
114.107.44.166:8188	无效	0	700
114.107.44.1:8188	无效	0	700
114.107.44.229:8188	无效	0	700
114.107.44.241:8188	无效	0	700
114.107.44.31:8188	无效	0	700
114.107.44.68:8188	无效	0	700
114.107.45.108:8188	无效	0	700
114.107.45.1:8188	无效	0	700
114.107.46.1:8188	无效	0	700
114.107.47.166:8188	无效	0	700
114.107.47.1:8188	无效	0	700
114.107.47.241:8188	无效	0	700
114.107.47.27:8188	无效	0	700
114.107.47.32:8188	无效	0	700
114.107.47.54:8188	无效	0	700
114.96.39.1:4022	无效	0	700
114.97.208.25:8888	无效	0	700
117.57.32.1:4022	无效	0	700
117.57.33.1:4022	无效	0	700
117.57.34.1:4022	无效	0	700
117.57.35.159:4022	无效	0	700
117.57.35.1:4022	无效	0	700
117.57.36.1:4022	无效	0	700
117.57.36.228:4022	无效	0	700
117.57.37.1:4022	无效	0	700
117.57.38.1:4022	无效	0	700
117.57.38.216:4022	无效	0	700
117.57.39.149:4022	无效	0	700
117.57.39.186:4022	无效	0	700
117.57.39.198:4022	无效	0	700
117.57.39.1:4022	无效	0	700
117.64.102.17:4022	有效	20	680
124.112.188.1:4022	无效	0	700
124.112.188.208:4022	无效	0	700
124.112.189.132:4022	无效	0	700
124.112.189.152:4022	无效	0	700
124.112.189.1:4022	有效	27	673
124.112.240.102:4022	无效	0	700
124.112.240.142:4022	无效	0	700
124.112.240.1:4022	无效	0	700
124.112.241.101:4022	无效	0	700
124.112.241.1:4022	无效	0	700
124.112.241.59:4022	无效	0	700
183.162.104.113:8888	无效	0	700
183.162.104.16:8888	无效	0	700
183.162.104.1:8888	无效	0	700
183.162.104.63:8888	无效	0	700
183.162.104.68:8888	无效	0	700
183.162.105.133:8888	无效	0	700
183.162.105.167:8888	无效	0	700
183.162.105.1:8888	无效	0	700
183.162.205.1:4022	无效	0	700
183.164.237.1:8888	无效	0	700
183.164.46.181:6688	无效	0	700
183.164.55.104:5000	无效	0	700
183.164.55.1:5000	无效	0	700
183.164.63.135:5000	无效	0	700
183.164.63.167:5000	无效	0	700
183.164.63.190:5000	无效	0	700
183.164.63.1:5000	无效	0	700
183.165.144.1:4022	无效	0	700
183.165.195.249:7000	无效	0	700
183.166.144.1:8688	无效	0	700
183.166.145.1:8688	无效	0	700
223.240.168.167:4000	无效	0	700
223.243.170.1:18888	无效	0	700
223.243.171.1:18888	无效	0	700
36.5.86.179:20000	无效	0	700
60.168.244.234:8888	有效	42	658
60.168.244.62:8188	无效	0	700
60.168.76.2:20000	无效	0	700
60.168.76.6:20000	无效	0	700
60.168.77.64:4022	无效	0	700
60.172.82.115:8686	无效	0	700
60.172.82.1:8686	无效	0	700
60.172.82.22:8686	无效	0	700
60.172.82.250:8686	无效	0	700
60.172.83.1:8686	无效	0	700
60.172.83.225:8686	无效	0	700
60.172.83.86:8686	无效	0	700
﻿# 2026/05/20 10:28	无效	0	700
117.57.35.97:4022	有效	13	627
124.112.188.241:4022	有效	5	635
114.100.195.34:4022	有效	21	619
183.164.55.120:5000	有效	4	636
183.164.237.29:8888	有效	18	586
117.57.37.27:4022	有效	10	594
183.164.55.81:5000	有效	2	602
114.100.195.132:4022	有效	20	545
183.164.55.118:5000	有效	183	382
117.57.37.26:4022	有效	10	555
117.57.34.151:4022	有效	13	518
183.164.55.73:5000	有效	13	518
114.100.195.91:4022	有效	24	507
124.112.189.64:4022	有效	4	527
183.164.55.99:5000	有效	5	487
114.100.195.97:4022	有效	25	467
114.100.195.159:4022	有效	9	403
117.57.38.102:4022	有效	4	408
114.100.195.73:4022	有效	9	362
117.57.32.90:4022	有效	14	357
124.112.188.49:4022	有效	21	227
117.57.33.249:4022	有效	16	232
114.100.195.214:4022	有效	16	232
114.100.195.115:4022	有效	15	191
124.112.189.92:4022	有效	21	185
117.57.37.90:4022	有效	16	190
124.112.189.237:4022	有效	20	144
114.100.195.204:4022	有效	13	151
117.57.38.147:4022	有效	16	148
183.164.55.111:5000	有效	61	70
117.57.34.196:4022	有效	12	119
114.100.195.92:4022	有效	13	118
117.57.32.77:4022	有效	11	85
183.164.237.178:8888	有效	15	47
124.112.188.96:4022	有效	16	46
117.57.38.175:4022	有效	11	51
183.164.55.123:5000	有效	29	0
117.57.36.207:4022	有效	12	17
183.164.237.165:8888	有效	6	23
